Absolute Magnitude,Close Approach Date,Relative Velocity km per hr,Miss Dist.(kilometers),Orbit Determination Date,Orbit Uncertainity,Minimum Orbit Intersection,Epoch Osculation,Eccentricity,Perihelion Distance,Aphelion Dist,Perihelion Time,Mean Anomaly,Hazardous,Est Dia in M(avg)
19.3,7,48874.689520897,52470692.0,2123,0,0.00132059,2458000.5,0.1902842554038815,0.96320591417408,1.415915204816935,2457797.7514800234,154.0217068187274,1,593.6666012068
22.6,7,41293.0729588648,7744736.5,2244,0,0.0341962,2458000.5,0.4282526106821032,0.7060724025476296,1.763802985567337,2457751.688642938,178.6926558391438,0,129.8801007541
23.8,7,42950.3131091804,14592393.0,69,0,0.052677,2455882.5,0.3864587856542614,0.4681162605167759,1.057832606719342,2455988.2188708745,203.652258647551,0,74.7381970393
28.6,7,35546.9153827062,21946004.0,968,6,0.00220111,2458000.5,0.2299595839786057,0.905713006375406,1.446664836478604,2457796.5160968,157.6102089911095,0,8.19488034725
21.2,7,57379.3457833544,25865906.0,615,6,0.0667857,2458000.5,0.4373989530511649,0.8115041357986146,2.073325674596017,2458075.090407064,317.5623087461238,0,247.481430032
22.8,7,42265.4885399758,49843512.0,234,6,0.0452308,2458000.5,0.513906570440738,0.4206435570219426,1.31006717240856,2457885.993670272,140.1980046848551,0,118.45205970434999
23.8,7,42950.2029249665,14592338.0,2446,0,0.0515902,2456125.5,0.3864450668773289,0.468113884379167,1.057793117938341,2456231.6333853165,203.0327732060237,0,74.7381970393
23.6,8,13816.8603514779,12937927.0,1654,0,0.0231683,2458000.5,0.1755281002971447,0.8945964663125213,1.27551137274164,2458019.6760410117,343.2780837648182,0,81.94880347265
19.8,9,52742.1858542341,73819112.0,2489,0,0.00864628,2458000.5,0.6596701710312648,0.3536265012455829,1.72451341565291,2458022.991311085,339.0708464948791,1,471.5661433514
21.7,9,27053.5512844418,74676320.0,1974,0,0.072723,2458000.5,0.1806949354384842,1.064042018598494,1.533383689169977,2458116.9552514236,282.4479213473536,0,196.58148744435
20.1,9,51778.1562725826,62975644.0,1964,0,0.286119,2458000.5,0.6085291129034922,0.4179850401456034,1.717474090650803,2458175.9619568433,203.2544790124766,0,410.71694111505
19.9,9,59537.6973600401,55719572.0,2605,0,0.00632801,2458000.5,0.2001586683140727,0.9798490275727472,1.470259484592771,2458225.3960863966,196.5243824380092,1,450.3421707193
27.4,9,26420.9069973864,10631156.0,772,7,0.00184403,2458000.5,0.2216354711934581,0.894825363440914,1.404419605527393,2457820.163435952,144.1965902347316,0,14.24106985895
